contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
1,Dead Lead,Declined Attending,3.0,I do not own a laptop,,,Married,$50k - $75k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
2,Dead Lead,Dead lead,2.0,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
3,Dead Lead,Declined Attending,3.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$100k - $150k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
4,2020 Fall - Lehi,Assigned Cohort,1.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$50k - $75k,Associates Degree,,,Hispanic or Latina,2020-11-25 09:20:00,2020,Hispanic or Latina,11,2
5,Dead Lead,Dead lead,,Laptop (PC),,,Domestic Partnership,<$15k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
6,Dead Lead,Dead lead,1.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,High School Diploma,,,White,2020-11-25 09:20:00,2020,White,11,2
7,Dead Lead,Declined Attending,3.0,Laptop (PC),,,Married,$100k - $150k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
8,Dead Lead,Declined Attending,2.0,Laptop (Mac),Employed part-time (under 20 hrs),$50K-$75K,Separated,$50k - $75k,Graduate or Professional Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
9,Dead Lead,Non-responsive,4.0,Laptop (PC),,$25K-$35K,Single,<$15k,High School Diploma,,,White,2020-11-25 09:20:00,2020,White,11,2
10,Dead Lead,Dead lead,4.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Separated,$25k - $35k,Some College No Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
11,Dead Lead,Dead lead,3.0,Laptop (Mac),Employed full-time (35 hrs+),,Married,$250k+,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
12,Dead Lead,Dead lead,1.0,Laptop (Mac),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,,2020-11-25 09:20:00,2020,Other,11,2
13,Dead Lead,Declined Attending,2.0,Laptop (PC),Employed part-time (under 20 hrs),<$15K,Married,$100k - $150k,Graduate or Professional Degree,,,Asian,2020-11-25 09:20:00,2020,Asian,11,2
14,Dead Lead,Dead lead,1.0,Laptop (Mac),,I do not currently work outside the home.,Married,$75k - $100k,Some College No Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
15,Dead Lead,Dead lead,1.0,Laptop (PC),Employed full-time (35 hrs+),$15K-$25K,Single,$15k - $25k,Bachelor's Degree,,,,2020-11-25 09:20:00,2020,Other,11,2
16,2020 Fall - Lehi,Assigned Cohort,1.0,Laptop (Mac),Employed almost full-time (up to 35 hrs),<$15K,Single,<$15k,High School Diploma,,,Hispanic or Latina,2020-11-25 09:20:00,2020,Hispanic or Latina,11,2
17,Dead Lead,Dead lead,1.0,Laptop (PC),,,Married,$100k - $150k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
18,2020 Fall - Lehi,Assigned Cohort,1.0,I do not own a laptop,,I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,,,Would prefer not to answer,2020-11-25 09:20:00,2020,Would prefer not to answer,11,2
19,Dead Lead,Declined Attending,1.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
20,2020 Fall - Lehi,Assigned Cohort,3.0,Laptop (Mac),,I do not currently work outside the home.,Married,$50k - $75k,Bachelor's Degree,,,Hispanic or Latina,2020-11-25 09:20:00,2020,Hispanic or Latina,11,2
21,Dead Lead,Declined Attending,2.0,Laptop (PC),,,Single,$25k - $35k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
22,Dead Lead,Dead lead,2.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
23,Dead Lead,Declined Attending,1.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Married,$50k - $75k,Some College No Degree,,,White,2020-11-25 09:20:00,2020,White,11,2
25,Dead Lead,Declined Attending,2.0,Laptop (Mac),Employed full-time (35 hrs+),$35K-$50K,Separated,$50k - $75k,Graduate or Professional Degree,,,"""Some other race, ethnicity, or origin""",2021-01-04 11:04:00,2021,"""Some other race, ethnicity, or origin""",1,0
26,Dead Lead,Dead lead,1.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$75K-$100K,Married,$100k - $150k,Bachelor's Degree,,,,2021-01-04 11:04:00,2021,Other,1,0
27,2020 Fall - Lehi,Assigned Cohort,2.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$25K-$35K,Married,$100k - $150k,Associates Degree,,,White,2021-01-04 11:04:00,2021,White,1,0
28,Dead Lead,Non-responsive,2.0,,Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$75k - $100k,Some College No Degree,,,Would prefer not to answer,2021-01-04 11:04:00,2021,Would prefer not to answer,1,0
29,2020 Fall - Lehi,Assigned Cohort,,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Some College No Degree,,,Hispanic or Latina,2021-01-04 11:04:00,2021,Hispanic or Latina,1,0
30,2020 Fall - Lehi,Assigned Cohort,3.0,Laptop (Mac),,,Married,$100k - $150k,Associates Degree,,,White,2021-01-04 11:04:00,2021,White,1,0
31,2020 Fall - Lehi,Assigned Cohort,2.0,I do not own a laptop,Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,High School Diploma,,,White,2021-01-04 11:04:00,2021,White,1,0
32,2020 Fall - Lehi,Assigned Cohort,2.0,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Married,$100k - $150k,Bachelor's Degree,,,White,2021-01-04 11:04:00,2021,White,1,0
33,2020 Fall - Lehi,Assigned Cohort,5.0,Laptop (PC),Employed part-time (under 20 hrs),<$15K,Married,$50k - $75k,Bachelor's Degree,,,White,2021-01-04 11:04:00,2021,White,1,0
34,Dead Lead,Declined Attending,1.0,Laptop (PC),,I do not currently work outside the home.,Single,<$15k,Graduate or Professional Degree,,,Asian,2021-01-04 11:04:00,2021,Asian,1,0
35,2020 Fall - Lehi,Assigned Cohort,1.0,Laptop (PC),,,Single,<$15k,Bachelor's Degree,,,Asian,2021-01-04 11:04:00,2021,Asian,1,0
36,2020 Fall - Lehi,Assigned Cohort,,Laptop (PC),,I do not currently work outside the home.,Single,<$15k,Bachelor's Degree,,,White,2021-01-05 17:09:00,2021,White,1,1
37,2020 Fall - Lehi,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$100K+,Married,$75k - $100k,Bachelor's Degree,,,White,2021-01-06 10:08:00,2021,White,1,2
